Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
10,10,0.93091595,-0.031707406,-0.95822203,0.48709452,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55,55000,1000,1000.0,1000,0.0,0.993988,-0.25880352,-0.99944925,0.5626084,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,12000,1000,1000.0,1000,0.0,12000,0.0033551919999581514,12.640625974998443,0.9838639920000105,0.3408333739999989,0.009021057999916593,11.300244166998482,0.003288262000069153,143.76861718300165,1.9930000007661874e-05,0.05519119277596474,-10.24605941772461,2.9466467,-0.5368414,-4.8942585,1.4902294,-23.217838,25.78091,23.152931,16.695131,1.6145953,25.693722,23.069637,16.200106,1.6697142,25.644735,23.078995,16.211369,1.6691229,0.05157185,0.04915568,11000,0.9657288,-0.18341237,-0.96520084,0.5219314,0.21682864,-0.30145082,-1.2327896,0.33041045,1.2421312,0.77793473,0.29147834,0.22916985
11,11,0.9257564,-0.30311543,-0.94321245,0.48555028,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60,60000,1000,1000.0,1000,0.0,0.9988648,0.2019928,-0.99935037,0.6883614,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32,13000,1000,1000.0,1000,0.0,13000,0.0035953729999391726,12.624242633999302,0.935300813999902,0.3192937170000505,0.009140405000039209,11.353568372999348,0.003324261999978262,156.64299605500162,1.9690000044647604e-05,0.04146261513233185,-10.547442436218262,4.3722806,-0.3137184,-5.082333,1.4768792,-22.953215,25.41569,22.727238,17.426558,1.3605033,25.584015,22.793776,17.394413,1.4602209,25.564653,22.78735,17.312023,1.457355,0.059929185,0.05925637,12000,0.9867617,-0.1237149,-0.95791245,0.5521006,0.23246354,-0.3471389,-1.316151,0.35848373,1.2617044,0.74962926,0.26816547,0.2395377
12,12,0.92897326,0.1256629,-0.95162964,0.48103458,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65,65000,1000,1000.0,1000,0.0,0.999623,0.22656627,-0.99854726,0.61834276,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33,14000,1000,1000.0,1000,0.0,14000,0.0033141630000272926,12.521555198001579,0.9400888599999462,0.33811904200001663,0.009164858000076492,11.227515912001536,0.003332783000018935,169.3969314640043,1.9579999957386462e-05,0.031324602663517,-10.092975616455078,4.6372094,0.08577813,-6.141577,1.7539846,-22.219208,24.987947,22.220509,16.122198,1.3776054,24.811977,22.096413,15.806432,1.4272289,24.742643,22.106098,15.9086275,1.4236858,0.06326544,0.056267694,13000,0.976724,-0.09323796,-0.9806357,0.6187696,0.28127888,-0.41405606,-1.4688808,0.40310675,1.324823,0.71183014,0.23018298,0.2551674
13,13,0.9907925,0.056401834,-0.9332753,0.50814116,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,70000,1000,1000.0,1000,0.0,0.99995774,0.29870608,-0.9999461,0.616742,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,15000,1000,1000.0,1000,0.0,15000,0.005100564000031227,12.14049449700201,0.9322129810000206,0.31699070599995594,0.009806176999973104,10.873048386002097,0.003315593000024819,181.76589352200358,2.0089999907213496e-05,0.023763563483953476,-10.848774909973145,5.317712,0.09894918,-5.2960777,1.7786616,-21.92233,23.845917,21.824837,1.0,1.799561,23.919008,21.845798,14.241224,1.3963566,23.85449,21.838259,14.303134,1.3877208,0.7246963,0.7326055,14000,0.9966774,0.01951621,-0.990718,0.6246965,0.41433048,-0.3377901,-1.8644936,0.44168615,1.5133572,0.7784794,0.15497467,0.30097312
14,14,0.99126685,0.25392014,-0.96595263,0.50194466,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,75000,1000,1000.0,1000,0.0,0.9987232,-0.3978738,-0.99919116,0.68616366,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,16000,1000,1000.0,1000,0.0,16000,0.004949833000068793,12.078011333000632,0.9310148719999916,0.3081088380000665,0.009507797999958711,10.820808219000583,0.003602823000051103,194.0717382620055,1.8949999912365456e-05,0.01813141070306301,-7.8624982833862305,5.707,1.0393307,-3.4554048,1.8493834,-21.235615,23.031343,21.122772,15.437843,1.3399694,23.205109,21.143616,14.989221,1.4364196,23.192438,21.129784,15.125626,1.4297694,0.03982129,0.03952401,15000,0.999585,0.1300659,-0.9810651,0.65979993,0.5009541,-0.4617692,-1.7319007,0.50155246,1.650295,0.70777863,0.17694777,0.32299238
15,15,0.99428004,-0.090314254,-0.9660318,0.7836548,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80,80000,1000,1000.0,1000,0.0,0.9997109,0.1353602,-0.9999847,0.7243122,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,17000,1000,1000.0,1000,0.0,17000,0.0035731630000555015,12.4247983940013,0.9283045989999437,0.29904484099995443,0.009602818000075786,11.179445069001304,0.0048018740000088656,206.7400722800062,2.6029999958154804e-05,0.014054441824555397,-7.797708034515381,7.2236676,1.1716194,-4.074021,1.9687681,-20.710896,22.071835,20.660843,16.216152,1.0035812,22.17756,20.660402,15.709137,1.0639346,22.145842,20.642445,15.739655,1.0694715,0.029196661,0.027506232,16000,0.9960442,0.0038272354,-0.9914045,0.6890799,0.58437943,-0.49657127,-2.3319802,0.6155319,1.7938774,0.7199955,0.09710327,0.38645124
16,16,0.99793535,0.03700988,-0.98121667,0.59197426,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,85000,1000,1000.0,1000,0.0,0.9999976,0.04808654,-0.99991965,0.53400856,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37,18000,1000,1000.0,1000,0.0,18000,0.0033212230000572163,12.464286400999868,0.9619726849999779,0.29872163200002433,0.009258335000026818,11.187564712999688,0.0034278630000699195,219.46286529700615,1.9950000023527537e-05,0.010923253372311592,-7.806637287139893,5.6739507,1.2716677,-3.0971413,1.7985258,-19.929432,21.344769,19.864384,14.154486,1.0853326,21.275818,19.835611,14.041907,1.1631802,21.241503,19.84049,14.003182,1.1451446,0.028846694,0.027989175,17000,0.9978281,0.011848349,-0.9831829,0.609214,0.52334213,-0.7509791,-2.6145802,0.8127803,1.6876585,0.621,0.07319851,0.40888387
17,17,0.9793327,0.06496608,-0.9556289,0.6776146,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,90000,1000,1000.0,1000,0.0,0.9991881,0.10385919,-0.9997374,0.5843179,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38,19000,1000,1000.0,1000,0.0,19000,0.0032839029998967817,12.309952020998935,0.93833056699998,0.29294535899998664,0.01008266700000604,11.060451000999137,0.0048317639999595485,232.0106377420044,2.6759999968817283e-05,0.00881904549896717,-5.592153072357178,6.965789,1.8179371,-3.3504791,2.0940852,-19.430035,20.53163,19.325275,14.27546,0.8324583,20.670414,19.376831,14.23044,0.8946788,20.636484,19.395721,14.3878,0.88946176,0.024172757,0.028785935,18000,0.9950895,0.074166484,-0.9917304,0.6380327,0.6422064,-0.7966358,-2.8519714,0.8343627,1.9006698,0.6012936,0.0577304,0.40574422
18,18,0.9855915,-0.01847264,-0.96784246,0.7384301,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95,95000,1000,1000.0,1000,0.0,0.9993714,0.24780022,-0.9992676,0.64292824,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,20000,1000,1000.0,1000,0.0,20000,0.005064314000037484,12.522353659002192,0.9331833039999538,0.31498468400002366,0.009389857000087432,11.255288017002044,0.0044153730000289215,244.77499805900493,2.8110000016567938e-05,0.007534227333962917,-3.776576042175293,8.121834,2.2274253,-3.52429,2.1508067,-18.70451,19.875757,18.647066,14.901776,0.73573524,19.803328,18.651222,14.3665495,0.7846811,19.857777,18.656353,14.138914,0.7947429,0.021758912,0.025544982,19000,0.9976422,0.019287715,-0.99100953,0.7058295,0.48627603,-0.9223402,-2.941382,0.86496127,1.6262488,0.54258114,0.052792724,0.38256612
19,19,0.9913835,0.03815393,-0.97102964,0.5757985,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,100000,1000,1000.0,1000,0.0,0.9991954,0.14333971,-0.9964976,0.48187727,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,21000,1000,1000.0,1000,0.0,21000,0.0033466919999227684,12.625384097001756,0.9337067029999844,0.31476921399996627,0.009213778000003003,11.359525277002035,0.004798412999889479,257.65667955800654,2.4019999955271487e-05,0.0067660571075975895,-0.35461434721946716,8.15073,2.929018,-2.6544297,2.051789,-18.032959,19.097567,17.937447,13.783794,0.90686023,19.160383,17.954327,13.402811,0.97827303,19.20148,17.952164,13.45206,0.9857948,0.01728354,0.019977378,20000,0.9985667,0.037365958,-0.9914979,0.6957718,0.6626049,-0.9534602,-3.2071867,0.9240784,1.9398389,0.54129285,0.04047031,0.39731875
